0.000	A
0.125	I
0.208	G
0.292	D
0.458	B
0.542	C
0.625	A
0.833	C
0.917	D
1.000	A
1.083	D
1.208	G
1.292	D
1.458	B
1.542	E
1.667	A
1.750	K
1.917	B
2.000	J
2.083	I
2.167	D
2.417	A
2.500	H
2.583	I
2.667	A
2.750	K
2.833	I
2.917	A
3.000	C
3.083	D
3.167	B
3.250	D
3.375	I
3.500	B
3.625	C
3.708	I
3.833	G
3.917	H
4.000	C
4.083	G
4.167	D
4.375	J
4.583	A
4.667	H
4.750	I
4.875	C
4.958	D
5.042	B
5.125	I
5.333	E
5.542	D
5.667	B
5.750	I
5.917	H
6.000	E
6.083	I
6.208	F
6.333	I
6.500	H
6.583	I
6.708	A
6.792	X
6.875	D
7.000	B
7.083	C
7.208	K
7.292	I
7.375	C
7.458	D
7.542	C
7.625	A
7.708	D
7.917	A
8.000	I
8.083	E
8.167	A
8.250	D
8.333	A
8.458	I
8.625	C
8.708	H
8.917	D
9.083	H
9.167	D
9.292	K
9.375	I
9.458	C
9.625	H
9.708	E
9.792	D
9.875	A
9.958	J
10.083	H
10.167	A
10.250	I
10.375	J
10.500	E
10.625	C
10.708	A
10.833	I
10.917	C
11.000	D
11.083	B
11.167	I
11.250	H
11.375	D
11.500	C
11.583	H
11.833	A
11.917	C
12.125	D
12.292	A
12.375	D
12.500	A
12.583	D
12.667	I
12.833	J
12.917	I
13.208	C
13.292	G
13.375	I
13.500	E
13.583	A
13.667	D
13.750	B
13.833	C
13.917	E
14.000	C
14.083	D
14.167	A
14.250	J
14.333	I
14.542	J
14.667	A
14.750	D
14.833	B
14.958	A
15.042	E
15.125	C
15.250	A
15.333	I
15.417	H
15.500	C
15.583	E
15.708	D
15.958	H
16.083	A
16.167	E
16.250	D
16.333	H
16.417	J
16.500	C
16.583	D
16.792	I
16.875	D
16.958	B
17.125	C
17.208	E
17.333	H
17.417	I
17.583	J
17.708	A
17.833	C
17.917	H
18.000	E
18.125	D
18.250	B
18.333	D
18.417	K
18.500	H
18.583	C
18.750	D
19.042	A
19.125	J
19.208	H
19.292	A
19.375	X
19.458	D
19.625	J
19.708	H
19.792	C
19.875	H
20.083	I
20.250	D
20.375	B
20.458	E
20.625	H
20.708	I
20.792	C
20.875	I
21.125	B
21.208	I
21.292	C
21.375	D
21.583	F
21.667	J
21.833	C
21.958	D
22.083	B
22.208	E
22.292	C
22.375	D
22.458	A
22.542	C
22.708	J
23.042	E
23.208	A
23.292	X
23.375	I
23.500	B
23.583	X
23.667	I
23.750	F
24.000	J
24.083	X
24.167	I
24.250	C
24.333	B
24.417	I
24.542	C
24.625	H
24.750	C
24.833	B
24.917	I
25.083	C
25.167	H
25.250	A
25.333	X
25.458	C
25.542	E
25.625	A
25.708	E
25.792	J
25.958	D
26.125	B
26.208	A
26.292	C
26.375	D
26.500	J
26.583	X
26.833	D
26.958	B
27.042	J
27.167	H
27.250	I
27.333	C
27.417	E
27.500	A
27.625	D
27.708	A
27.833	I
27.917	H
28.000	C
28.083	D
28.167	C
28.250	A
28.333	K
28.417	D
28.542	J
28.625	H
28.750	D
28.958	J
29.083	H
29.167	D
29.333	J
29.417	H
29.500	E
29.583	C
29.708	D
29.792	B
29.917	D
