0.000	X
0.167	C
0.250	A
0.750	X
0.833	C
0.917	D
1.250	A
1.333	X
1.417	D
1.625	B
1.708	J
1.833	C
1.917	D
2.083	B
2.167	H
2.250	D
2.417	B
2.500	H
2.583	D
2.667	A
2.750	I
2.917	B
3.000	I
3.083	C
3.250	F
3.333	J
3.417	H
3.500	E
3.583	D
3.750	A
3.833	E
3.958	D
4.042	A
4.250	J
4.417	I
4.542	C
4.625	E
4.750	D
4.917	G
5.000	I
5.125	J
5.208	E
5.292	D
5.375	A
5.458	E
5.542	D
5.625	A
5.750	D
5.875	B
5.958	J
6.083	I
6.167	B
6.250	J
6.333	I
6.458	C
6.542	H
6.625	D
6.750	J
6.917	C
7.000	D
7.125	A
7.208	I
7.292	A
7.375	I
7.458	C
7.542	I
7.750	J
7.917	C
8.000	D
8.125	J
8.250	I
8.333	B
8.417	C
8.500	J
8.583	C
8.667	I
9.208	C
9.292	H
9.375	E
9.458	D
9.583	B
9.667	H
9.750	C
9.875	D
9.958	J
10.208	I
10.375	C
10.458	D
10.542	C
10.625	J
10.708	I
10.875	E
11.083	D
11.167	A
11.250	H
11.333	C
11.500	D
11.583	X
11.792	A
11.875	C
